2450550.90674 16.613 0.017
2450552.87726 16.626 0.020
2450553.80244 16.551 0.019
2450554.87494 16.592 0.015
2450557.83018 16.597 0.019
2450558.90077 16.618 0.017
2450560.82812 16.644 0.022
2450562.81683 16.616 0.015
2450567.90457 16.584 0.017
2450568.83742 16.599 0.014
2450569.80448 16.578 0.015
2450570.81696 16.642 0.017
2450571.74321 16.610 0.018
2450572.82718 16.608 0.021
2450573.86648 16.605 0.016
2450574.82666 16.621 0.018
2450575.80493 16.592 0.016
2450576.78561 16.599 0.018
2450581.73077 16.576 0.019
2450582.74391 16.657 0.017
2450583.73755 16.642 0.020
2450587.83658 16.630 0.015
2450588.74157 16.606 0.015
2450590.77362 16.590 0.017
2450600.73824 16.612 0.017
2450601.80957 16.640 0.020
2450605.75335 16.634 0.015
2450607.66704 16.656 0.020
2450608.65880 16.563 0.013
2450614.73068 16.608 0.018
2450615.68853 16.613 0.026
2450616.66260 16.645 0.025
2450623.81817 16.608 0.017
2450624.61835 16.596 0.014
2450625.72755 16.612 0.016
2450626.61089 16.617 0.017
2450628.64127 16.630 0.015
2450629.61015 16.612 0.014
2450630.70518 16.561 0.015
2450631.68110 16.615 0.017
2450632.74021 16.595 0.017
2450633.75149 16.608 0.017
2450635.72075 16.584 0.014
2450643.59390 16.590 0.014
2450652.64084 16.589 0.017
2450653.63695 16.662 0.024
2450656.63454 16.658 0.016
2450665.70740 16.595 0.020
2450666.71877 16.603 0.015
2450667.65547 16.576 0.016
2450671.59632 16.621 0.014
2450684.55887 16.565 0.014
2450687.53842 16.619 0.020
2450689.54965 16.637 0.017
2450698.55483 16.594 0.016
2450701.52416 16.622 0.021
2450715.56583 16.626 0.015
2450727.49689 16.627 0.019
2450859.87747 16.606 0.016
2450895.82198 16.592 0.017
2450898.83495 16.644 0.017
2450918.87736 16.566 0.019
2450925.84352 16.599 0.022
2450930.88064 16.611 0.017
2450933.83786 16.645 0.018
2450936.72510 16.594 0.018
2450939.88480 16.576 0.018
2450940.84001 16.571 0.016
2450941.66403 16.561 0.019
2450941.82625 16.634 0.018
2450944.73089 16.545 0.016
2450949.71821 16.572 0.027
2450950.66363 16.536 0.020
2450951.80667 16.645 0.020
2450953.76533 16.582 0.019
2450962.75592 16.613 0.015
2450964.80738 16.477 0.027
2450966.70784 16.592 0.017
2450971.88529 16.598 0.015
2450985.69819 16.592 0.016
2450990.82264 16.550 0.026
2450991.72279 16.592 0.016
2450992.80777 16.559 0.014
2450997.66246 16.598 0.015
2451021.58011 16.634 0.016
2451026.64390 16.590 0.015
2451036.56031 16.616 0.015
2451040.68854 16.679 0.018
2451048.59683 16.619 0.014
2451049.65559 16.641 0.017
2451054.67392 16.606 0.018
2451060.56191 16.639 0.019
2451064.64860 16.595 0.020
2451069.60806 16.632 0.016
2451077.55991 16.635 0.017
2451087.60318 16.603 0.021
2451091.55928 16.613 0.016
2451102.58814 16.610 0.020
2451107.55711 16.645 0.018
2451114.55067 16.599 0.020
2451232.87095 16.578 0.014
2451240.88026 16.575 0.018
2451245.81311 16.570 0.015
2451253.84674 16.570 0.012
2451255.88081 16.603 0.016
2451262.84154 16.601 0.015
2451266.79698 16.550 0.014
2451268.84152 16.589 0.016
2451278.91502 16.585 0.013
2451280.73461 16.572 0.014
2451288.88645 16.624 0.013
2451289.74342 16.605 0.023
2451290.88995 16.582 0.015
2451295.67369 16.589 0.016
2451297.76690 16.553 0.015
2451299.68343 16.615 0.018
2451305.90400 16.615 0.020
2451306.85803 16.586 0.018
2451308.68317 16.585 0.014
2451312.90389 16.602 0.017
2451315.86345 16.590 0.016
2451316.86312 16.626 0.018
2451319.73151 16.598 0.016
2451320.85665 16.610 0.013
2451335.77230 16.628 0.017
2451338.80899 16.608 0.018
2451340.69340 16.616 0.016
2451345.76879 16.596 0.022
2451346.77066 16.620 0.014
2451347.63043 16.637 0.016
2451348.67709 16.584 0.012
2451349.63845 16.624 0.016
2451352.79157 16.594 0.022
2451353.68829 16.559 0.013
2451354.72970 16.621 0.014
2451355.63721 16.586 0.014
2451359.59303 16.540 0.022
2451360.78168 16.576 0.016
2451365.64319 16.584 0.016
2451366.71293 16.605 0.016
2451367.73001 16.559 0.016
2451368.72452 16.608 0.014
2451369.66808 16.609 0.014
2451374.77494 16.571 0.013
2451375.69846 16.607 0.013
2451376.57953 16.573 0.016
2451394.68593 16.601 0.014
2451398.73646 16.588 0.016
2451401.62665 16.542 0.015
2451402.73004 16.650 0.014
2451408.60269 16.576 0.017
2451415.64112 16.545 0.016
2451416.64759 16.562 0.017
2451418.72586 16.531 0.014
2451431.66052 16.533 0.015
2451442.51002 16.547 0.017
2451447.50748 16.500 0.014
2451450.48573 16.505 0.013
2451458.55830 16.457 0.013
2451461.56629 16.403 0.013
