# d.mjd mag magErr
55683.37013000  16.25072263   0.00778096
55683.32495000  16.24944895   0.00801610
55066.15291000  16.13168509   0.00900596
55319.41479000  16.13980903   0.00703735
55319.45796000  16.15258141   0.00847180
55753.18300000  16.24783607   0.00799509
55397.20519000  16.19340605   0.00715421
55397.25853000  16.17885106   0.00656608
55095.31565000  16.11230135   0.00689508
55368.41131000  16.15932018   0.00597070
55368.45763000  16.14593927   0.00614126
55311.29059000  16.13469462   0.00876974
55311.24678000  16.11862008   0.00900933
#55324.48803000  16.48054978   0.09913168
55324.44141000  16.14205419   0.00895375
55817.25766000  16.18533403   0.01434573
54971.48715000  16.18904665   0.00807690
54971.25368000  16.18688940   0.00713589
54971.16999000  16.20371844   0.00853313
55962.57104000  16.24898086   0.00912207
55962.56987000  16.26984389   0.00869474
55340.41938000  16.14347846   0.00609665
55340.46622000  16.15218399   0.00630619
55391.39295000  16.21362635   0.00693591
55391.43750000  16.20393498   0.00732100
55412.41978000  16.18176588   0.01332948
55412.37582000  16.17113321   0.01302433
55108.19791000  16.10797760   0.01013960
55108.26119000  16.12826088   0.01220271
55461.18751000  16.22756626   0.00900873
55461.14409000  16.23385458   0.00777956
55051.42854000  16.14441400   0.01113801
55330.46692000  16.14668408   0.00585813
55757.45531000  16.25089431   0.01306464
55757.41072000  16.21473712   0.01084211
55843.17376000  16.25972184   0.01018077
55843.13046000  16.24475309   0.01005503
55385.29387000  16.15410359   0.00623509
55385.34696000  16.15777941   0.00589498
55032.21352000  16.15105550   0.03759379
55032.31046000  16.17713973   0.00806597
55048.42755000  16.13740857   0.01129105
55054.42065000  16.13869931   0.00914486
55789.29230000  16.26990758   0.00907550
55789.33691000  16.27485999   0.00899150
55824.14641000  16.25995165   0.00685131
55824.22703000  16.25305326   0.00700357
55064.33874000  16.12593105   0.00814805
55347.27138000  16.11993384   0.00661547
55347.31407000  16.13037079   0.00689829
55735.43034000  16.24380368   0.00702967
55735.38475000  16.24076815   0.00693947
55681.42144000  16.25167505   0.00750353
55681.46448000  16.25245113   0.00714749
55080.35552000  16.13690915   0.01338792
55821.20344000  16.22946499   0.00819280
55821.15686000  16.22796142   0.00701498
55346.45993000  16.12823870   0.00808151
55069.35755000  16.11492156   0.00680841
55069.31374000  16.12558147   0.00725693
55367.44992000  16.14317758   0.00607450
55732.33851000  16.26280336   0.00813485
55732.38278000  16.25625542   0.00788365
55958.54844000  16.24735457   0.00713994
55958.54731000  16.23891371   0.00740873
55004.47765000  16.16420717   0.00901831
55379.37828000  16.16464991   0.00588977
55379.42337000  16.17578309   0.00682290
55357.44748000  16.14481080   0.00605641
55357.40338000  16.15059546   0.00584674
56010.30637000  16.22846037   0.01332127
56010.30749000  16.26560406   0.01156611
54967.30448000  16.17207220   0.00672079
54967.17170000  16.18929577   0.00816396
55020.43097000  16.16780655   0.01015047
55020.39434000  16.17615272   0.01249531
55373.45832000  16.16746732   0.00674671
55055.24748000  16.15077355   0.00704170
55936.57177000  16.24890205   0.01759662
55936.57045000  16.24053649   0.01421349
55362.47479000  16.15939159   0.00680466
55362.42601000  16.15599221   0.00590167
55052.43095000  16.13693737   0.01033594
55052.19057000  16.14313096   0.00772097
55316.47105000  16.14999585   0.00785342
55138.12159000  16.11706379   0.01049708
55138.16550000  16.09699606   0.01007806
55061.40483000  16.14552805   0.00833876
55049.21561000  16.15530296   0.00893143
55968.52598000  16.23484949   0.01086904
55968.52478000  16.21825863   0.01116331
55084.32582000  16.12588054   0.00800564
55751.39867000  16.24918731   0.00709148
55374.42596000  16.17278837   0.00922811
55374.38258000  16.17926440   0.00895518
55467.20461000  16.21210529   0.00851818
55682.31175000  16.26059574   0.00831172
55682.26796000  16.25071111   0.00941839
55813.20021000  16.19553085   0.00810106
54960.36838000  16.18156382   0.00823014
54960.29956000  16.16847514   0.00859210
54960.23274000  16.15973641   0.00903582
54960.16744000  16.15973234   0.01030606
54960.44940000  16.16812412   0.00846760
55310.47904000  16.13745487   0.00640519
55434.16898000  16.15335397   0.10430050
55434.21197000  16.18939149   0.00900797
55453.26383000  16.22637241   0.00671282
55453.22101000  16.21108819   0.00692053
55062.20336000  16.14260526   0.00696394
55854.17494000  16.23257569   0.00707060
55854.12818000  16.23241182   0.00763442
55784.27106000  16.24723569   0.00883469
55784.31512000  16.25747339   0.00913307
55094.29513000  16.11180506   0.00855743
55005.34582000  16.17924509   0.00718717
55040.30185000  16.16379172   0.00678532
55040.37009000  16.17905612   0.00688917
55793.21703000  16.26978302   0.00729402
55793.17360000  16.26865902   0.00722740
55338.44648000  16.13797905   0.00755138
55059.25825000  16.14555337   0.00675503
55059.40115000  16.14077851   0.00825686
55352.34154000  16.12538595   0.00578575
55352.29493000  16.14114050   0.00596930
55301.42718000  16.12876111   0.00640651
55301.47032000  16.15265147   0.00675551
55851.12734000  16.26144071   0.00823234
55851.17059000  16.27105821   0.00779698
55088.31381000  16.11702335   0.00685295
55053.19595000  16.13902960   0.00700622
55724.24419000  16.25290193   0.00767671
55724.20035000  16.25994368   0.00774961
55331.35267000  16.16037749   0.00607057
55331.39821000  16.14034191   0.00586821
55464.14791000  16.23783989   0.00884026
55464.19039000  16.24092019   0.00883907
55457.24506000  16.21478643   0.00784212
55457.28870000  16.20923318   0.00791378
