Mag,Phase,Band
17.36059980677812,0.0,g
17.360140441149426,0.001,g
17.35968397824138,0.002,g
17.359230392069392,0.003,g
17.358779659496058,0.004,g
17.358331760222104,0.005,g
17.35788667679655,0.006,g
17.35744439460507,0.007,g
17.357004901869608,0.008,g
17.35656818964711,0.009000000000000001,g
17.356134251807056,0.01,g
17.3557030850392,0.011,g
17.35527468882724,0.012,g
17.35484906543989,0.013000000000000001,g
17.354426219918576,0.014,g
17.35400616005081,0.015,g
17.353588896360385,0.016,g
17.35317444207588,0.017,g
17.3527628131171,0.018000000000000002,g
17.35235402806125,0.019,g
17.351948108119714,0.02,g
17.351545077112785,0.021,g
17.35114496143093,0.022,g
17.350747790012036,0.023,g
17.350353594298237,0.024,g
17.34996240820973,0.025,g
17.349574268098433,0.026000000000000002,g
17.34918921271962,0.027,g
17.348807283179205,0.028,g
17.34842852290223,0.029,g
17.348052977588384,0.03,g
17.347680695161834,0.031,g
17.347311725728463,0.032,g
17.34694612153164,0.033,g
17.346583936895815,0.034,g
17.34622522818499,0.035,g
17.34587005374283,0.036000000000000004,g
17.345518473848465,0.037,g
17.345170550654316,0.038,g
17.34482634813942,0.039,g
17.34448593204616,0.04,g
17.34414936982625,0.041,g
17.343816730585484,0.042,g
17.34348808501772,0.043000000000000003,g
17.343163505352557,0.044,g
17.342843065288562,0.045,g
17.342526839930603,0.046,g
17.342214905735577,0.047,g
17.341907340438777,0.048,g
17.34160422299805,0.049,g
17.34130563352174,0.05,g
17.341011653210426,0.051000000000000004,g
17.340722364284723,0.052000000000000005,g
17.340437849921468,0.053,g
17.340158194189126,0.054,g
17.339883481974503,0.055,g
17.33961379892149,0.056,g
17.339349231356394,0.057,g
17.339089866225788,0.058,g
17.338835791022248,0.059000000000000004,g
17.338587093717877,0.06,g
17.33834386269723,0.061,g
17.33810618668309,0.062,g
17.33787415467356,0.063,g
17.33764785586511,0.064,g
17.33742737958961,0.065,g
17.337212815244264,0.066,g
17.33700425221874,0.067,g
17.33680177983138,0.068,g
17.336605487255568,0.069,g
17.336415463456177,0.07,g
17.33623179711735,0.07100000000000001,g
17.33605457657659,0.07200000000000001,g
17.335883889758975,0.073,g
17.335719824106615,0.074,g
17.335562466516322,0.075,g
17.335411903269915,0.076,g
17.33526821997261,0.077,g
17.335131501484884,0.078,g
17.33500183186186,0.079,g
17.334879294287127,0.08,g
17.33476397101191,0.081,g
17.334655943292862,0.082,g
17.334555291331178,0.083,g
17.33446209421231,0.084,g
17.33437642984786,0.085,g
17.33429837491558,0.08600000000000001,g
17.334228004804146,0.08700000000000001,g
17.33416539355511,0.088,g
17.3341106138095,0.089,g
17.33406373675222,0.09,g
17.334024832060454,0.091,g
17.333993967850898,0.092,g
17.333971210629652,0.093,g
17.333956625243022,0.094,g
17.333950274828975,0.095,g
17.33395222077066,0.096,g
17.333962522650772,0.097,g
17.333981238207333,0.098,g
17.334008423290943,0.099,g
17.33404413182374,0.1,g
17.334088415758483,0.101,g
17.334141325040935,0.10200000000000001,g
17.33420290757254,0.10300000000000001,g
17.334273209174086,0.10400000000000001,g
17.33435227355302,0.105,g
17.334440142269177,0.106,g
17.334536854705632,0.107,g
17.33464244803717,0.108,g
17.334756957204664,0.109,g
17.334880414886346,0.11,g
17.335012851475383,0.111,g
17.335154295055926,0.112,g
17.335304771380372,0.113,g
17.33546430385251,0.114,g
17.33563291350591,0.115,g
17.33581061899118,0.116,g
17.33599743655669,0.117,g
17.336193380041244,0.11800000000000001,g
17.336398460857968,0.11900000000000001,g
17.336612687984758,0.12,g
17.33683606796003,0.121,g
17.337068604871313,0.122,g
17.337310300355107,0.123,g
17.33756115359209,0.124,g
17.33782116130349,0.125,g
17.338090317756727,0.126,g
17.338368614761393,0.127,g
17.338656041679346,0.128,g
17.33895258542362,0.129,g
17.33925823047136,0.13,g
17.33957295887019,0.131,g
17.3398967502457,0.132,g
17.34022958182007,0.133,g
17.34057142841706,0.134,g
17.340922262488146,0.135,g
17.34128205412055,0.136,g
17.34165077105637,0.137,g
17.342028378719075,0.138,g
17.34241484022646,0.139,g
17.34281011642254,0.14,g
17.34321416589313,0.14100000000000001,g
17.343626944999983,0.14200000000000002,g
17.344048407904978,0.14300000000000002,g
17.34447850659534,0.14400000000000002,g
17.34491719092274,0.145,g
17.345364408625098,0.146,g
17.34582010537003,0.147,g
17.346284224778937,0.148,g
17.346756708473563,0.149,g
17.34723749610228,0.15,g
17.347726525388158,0.151,g
17.348223732163113,0.152,g
17.348729050410153,0.153,g
17.349242412305436,0.154,g
17.349763748262983,0.155,g
17.350292986972825,0.156,g
17.350830055457205,0.157,g
17.351374879104494,0.158,g
17.351927381729272,0.159,g
17.352487485607924,0.16,g
17.35305511154094,0.161,g
17.353630178890004,0.162,g
17.354212605640708,0.163,g
17.35480230844956,0.164,g
17.355399202691405,0.165,g
17.356003202525066,0.166,g
17.35661422093349,0.167,g
17.35723216979278,0.168,g
17.3578569599133,0.169,g
17.358488501106518,0.17,g
17.35912670224374,0.171,g
17.359771471296344,0.17200000000000001,g
17.360422715413936,0.17300000000000001,g
17.361080340965394,0.17400000000000002,g
17.36174425361058,0.17500000000000002,g
17.36241435835345,0.176,g
17.363090559595044,0.177,g
17.36377276120668,0.178,g
17.36446086657349,0.179,g
17.365154778670217,0.18,g
17.36585440010477,0.181,g
17.36655963319239,0.182,g
17.36727038000956,0.183,g
17.36798654244756,0.184,g
17.368708022287066,0.185,g
17.369434721241106,0.186,g
17.37016654103173,0.187,g
17.37090338343023,0.188,g
17.3716451503402,0.189,g
17.37239174383715,0.19,g
17.37314306622931,0.191,g
17.37389902012927,0.192,g
17.374659508494357,0.193,g
17.37542443469978,0.194,g
17.376193702589195,0.195,g
17.37696721652453,0.196,g
17.377744881457968,0.197,g
17.3785266029693,0.198,g
17.379312287339133,0.199,g
17.380101841584825,0.2,g
17.380895173530124,0.201,g
17.38169219185122,0.202,g
17.382492806121654,0.203,g
17.383296926880085,0.20400000000000001,g
17.384104465661853,0.20500000000000002,g
17.38491533506267,0.20600000000000002,g
17.38572944878974,0.20700000000000002,g
17.38654672168795,0.20800000000000002,g
17.38736706981286,0.209,g
17.38819041045484,0.21,g
17.38901666220295,0.211,g
17.389845744969243,0.212,g
17.390677580048152,0.213,g
17.39151209015063,0.214,g
17.392349199436914,0.215,g
17.393188833572697,0.216,g
17.394030919747216,0.217,g
17.39487538672953,0.218,g
17.395722164883967,0.219,g
17.396571186223927,0.22,g
17.39742238442464,0.221,g
17.3982756948719,0.222,g
17.399131054684542,0.223,g
17.399988402732934,0.224,g
17.400847679691285,0.225,g
17.401708828040718,0.226,g
17.40257179209608,0.227,g
17.40343651804393,0.228,g
17.404302953943674,0.229,g
17.40517104976774,0.23,g
17.406040757399616,0.231,g
17.406912030671126,0.232,g
17.40778482535732,0.233,g
17.408659099208236,0.234,g
17.40953481195347,0.23500000000000001,g
17.4104119253052,0.23600000000000002,g
17.411290402985337,0.23700000000000002,g
17.41217021071255,0.23800000000000002,g
17.413051316228916,0.23900000000000002,g
17.413933689283706,0.24,g
17.414817301654388,0.241,g
17.4157021271376,0.242,g
17.416588141551415,0.243,g
17.417475322736166,0.244,g
17.41836365054054,0.245,g
17.419253106832258,0.246,g
17.42014367548371,0.247,g
17.42103534235591,0.248,g
17.421928095307205,0.249,g
17.422821924161045,0.25,g
17.42371682071419,0.251,g
17.424612778701405,0.252,g
17.425509793798007,0.253,g
17.42640786359468,0.254,g
17.427306987570656,0.255,g
17.428207167091934,0.256,g
17.429108405368286,0.257,g
17.430010707451206,0.258,g
17.430914080185374,0.259,g
17.43181853221172,0.26,g
17.43272407391606,0.261,g
17.433630717402792,0.262,g
17.43453847648068,0.263,g
17.43544736660992,0.264,g
17.43635740488789,0.265,g
17.437268610007003,0.266,g
17.438181002211145,0.267,g
17.439094603277766,0.268,g
17.440009436458475,0.269,g
17.440925526461402,0.27,g
17.44184289938943,0.271,g
17.4427615827203,0.272,g
17.44368160524254,0.273,g
17.444602997030774,0.274,g
17.44552578939299,0.275,g
17.446450014816755,0.276,g
17.44737570693614,0.277,g
17.44830290048693,0.278,g
17.449231631233626,0.279,g
17.450161935950064,0.28,g
17.45109385234466,0.281,g
17.45202741903129,0.28200000000000003,g
17.452962675455602,0.28300000000000003,g
17.453899661864487,0.28400000000000003,g
17.454838419230864,0.28500000000000003,g
17.45577898921913,0.28600000000000003,g
17.456721414122434,0.28700000000000003,g
17.45766573679928,0.28800000000000003,g
17.458612000637384,0.289,g
17.459560249475352,0.29,g
17.460510527568374,0.291,g
17.461462879509007,0.292,g
17.462417350189313,0.293,g
17.463373984734872,0.294,g
17.46433282843547,0.295,g
17.465293926717894,0.296,g
17.46625732504799,0.297,g
17.467223068903106,0.298,g
17.468191203702045,0.299,g
17.46916177473772,0.3,g
17.47013482713817,0.301,g
17.4711104057849,0.302,g
17.472088555276876,0.303,g
17.473069319848882,0.304,g
17.474052743333,0.305,g
17.47503886909152,0.306,g
17.476027739950002,0.307,g
17.47701939815957,0.308,g
17.478013885315978,0.309,g
17.479011242325573,0.31,g
17.480011509324893,0.311,g
17.481014725644638,0.312,g
17.482020929741847,0.313,g
17.483030159147205,0.314,g
17.484042450413014,0.315,g
17.485057839046757,0.316,g
17.486076359475135,0.317,g
17.487098044982012,0.318,g
17.48812292764684,0.319,g
17.48915103831401,0.32,g
17.490182406517746,0.321,g
17.491217060456187,0.322,g
17.49225502691779,0.323,g
17.493296331254253,0.324,g
17.494340997323917,0.325,g
17.495389047436046,0.326,g
17.496440502326784,0.327,g
17.49749538109009,0.328,g
17.49855370115901,0.329,g
17.49961547823857,0.33,g
17.500680726283218,0.331,g
17.50174945746002,0.332,g
17.50282168208163,0.333,g
17.503897408603155,0.334,g
17.504976643557512,0.335,g
17.50605939154241,0.336,g
17.507145655177226,0.337,g
17.50823543506086,0.338,g
17.50932872976309,0.339,g
17.510425535769265,0.34,g
17.511525847477696,0.341,g
17.51262965714706,0.342,g
17.513736954896867,0.343,g
17.514847728657564,0.34400000000000003,g
17.51596196417091,0.34500000000000003,g
17.517079644959306,0.34600000000000003,g
17.518200752296543,0.34700000000000003,g
17.51932526521297,0.34800000000000003,g
17.520453160449573,0.34900000000000003,g
17.521584412479637,0.35000000000000003,g
17.522718993465926,0.35100000000000003,g
17.523856873252377,0.352,g
17.524998019374284,0.353,g
17.526142397023293,0.354,g
17.52728996906767,0.355,g
17.5284406960204,0.356,g
17.529594536059474,0.357,g
17.53075144501616,0.358,g
17.531911376364814,0.359,g
17.533074281248357,0.36,g
17.534240108454377,0.361,g
17.53540880444749,0.362,g
17.536580313348672,0.363,g
17.537754576967608,0.364,g
17.538931534802508,0.365,g
17.540111124041402,0.366,g
17.541293279596296,0.367,g
17.542477934104333,0.368,g
17.543665017947998,0.369,g
17.54485445927691,0.37,g
17.54604618401385,0.371,g
17.5472401159008,0.372,g
17.548436176494178,0.373,g
17.54963428521771,0.374,g
17.55083435936072,0.375,g
17.552036314130774,0.376,g
17.55324006267264,0.377,g
17.554445516088805,0.378,g
17.55565258349681,0.379,g
17.55686117203508,0.38,g
17.55807118692691,0.381,g
17.559282531489117,0.382,g
17.560495107199046,0.383,g
17.561708813702467,0.384,g
17.56292354889414,0.385,g
17.56413920892847,0.386,g
17.565355688267108,0.387,g
17.566572879742264,0.388,g
17.56779067459266,0.389,g
17.56900896250078,0.39,g
17.570227631667112,0.391,g
17.571446568831945,0.392,g
17.57266565935557,0.393,g
17.57388478724241,0.394,g
17.57510383522349,0.395,g
17.57632268478272,0.396,g
17.577541216237915,0.397,g
17.578759308787053,0.398,g
17.579976840555453,0.399,g
17.581193688679736,0.4,g
17.58240972933899,0.401,g
17.583624837836847,0.402,g
17.5848388886665,0.403,g
17.586051755540847,0.404,g
17.587263311494706,0.405,g
17.588473428916426,0.406,g
17.58968197964071,0.40700000000000003,g
17.590888834985133,0.40800000000000003,g
17.592093865840567,0.40900000000000003,g
17.593296942726578,0.41000000000000003,g
17.594497935847365,0.41100000000000003,g
17.595696715183564,0.41200000000000003,g
17.5968931505314,0.41300000000000003,g
17.598087111598648,0.41400000000000003,g
17.599278468044588,0.41500000000000004,g
17.600467089572966,0.41600000000000004,g
17.60165284598997,0.417,g
17.602835607262627,0.418,g
17.60401524361204,0.419,g
17.6051916255511,0.42,g
17.606364623991634,0.421,g
17.607534110282263,0.422,g
17.608699956280887,0.423,g
17.60986203444416,0.424,g
17.61102021786882,0.425,g
17.612174380387533,0.426,g
17.613324396609933,0.427,g
17.614470142014508,0.428,g
17.61561149300596,0.429,g
17.616748326972576,0.43,g
17.617880522376563,0.431,g
17.619007958793745,0.432,g
17.620130517006103,0.433,g
17.621248079040658,0.434,g
17.62236052825732,0.435,g
17.62346774940309,0.436,g
17.624569628665753,0.437,g
17.625666053756117,0.438,g
17.626756913956903,0.439,g
17.62784210018707,0.44,g
17.628921505065232,0.441,g
17.629995022956315,0.442,g
17.631062550052064,0.443,g
17.632123984403222,0.444,g
17.633179226000962,0.445,g
17.63422817680724,0.446,g
17.63527074083069,0.447,g
17.636306824170305,0.448,g
17.637336335058166,0.449,g
17.638359183931414,0.45,g
17.639375283457316,0.451,g
17.64038454860541,0.452,g
17.64138689667033,0.453,g
17.6423822473409,0.454,g
17.64337052272053,0.455,g
17.644351647387367,0.456,g
17.645325548438024,0.457,g
17.646292155501346,0.458,g
17.647251400805153,0.459,g
17.648203219201164,0.46,g
17.649147548191593,0.461,g
17.65008432798193,0.462,g
17.651013501490414,0.463,g
17.651935014400035,0.464,g
17.652848815164976,0.465,g
17.65375485505884,0.466,g
17.654653088178044,0.467,g
17.655543471483597,0.468,g
17.656425964814332,0.46900000000000003,g
17.657300530898734,0.47000000000000003,g
17.658167135390777,0.47100000000000003,g
17.659025746865225,0.47200000000000003,g
17.65987633685207,0.47300000000000003,g
17.660718879826028,0.47400000000000003,g
17.661553353244337,0.47500000000000003,g
17.662379737532692,0.47600000000000003,g
17.66319801609452,0.47700000000000004,g
17.664008175330085,0.47800000000000004,g
17.664810204619947,0.47900000000000004,g
17.665604096342495,0.48,g
17.66638984586557,0.481,g
17.667167451536567,0.482,g
17.66793691469357,0.483,g
17.66869823964012,0.484,g
17.669451433654434,0.485,g
17.670196506960725,0.486,g
17.670933472731967,0.487,g
17.671662347068526,0.488,g
17.67238314897519,0.489,g
17.673095900357595,0.49,g
17.673800625984814,0.491,g
17.67449735347972,0.492,g
17.67518611329644,0.493,g
17.675866938676023,0.494,g
17.676539865640663,0.495,g
17.67720493294578,0.496,g
17.677862182064068,0.497,g
17.678511657136283,0.498,g
17.679153404949375,0.499,g
17.6797874748934,0.5,g
17.680413918917022,0.501,g
17.681032791499725,0.502,g
17.68164414959456,0.503,g
17.682248052598474,0.504,g
17.682844562291976,0.505,g
17.683433742805743,0.506,g
17.684015660557307,0.507,g
17.68459038421238,0.508,g
17.68515798462536,0.509,g
17.685718534787103,0.51,g
17.686272109769284,0.511,g
17.686818786668933,0.512,g
17.687358644543444,0.513,g
17.687891764361797,0.514,g
17.688418228930438,0.515,g
17.68893812284304,0.516,g
17.689451532404032,0.517,g
17.689958545575383,0.518,g
17.69045925189787,0.519,g
17.690953742433678,0.52,g
17.691442109692787,0.521,g
17.69192444755848,0.522,g
17.692400851226108,0.523,g
17.692871417119324,0.524,g
17.69333624282793,0.525,g
17.693795427022433,0.526,g
17.694249069387084,0.527,g
17.6946972705448,0.528,g
17.695140131968362,0.529,g
17.695577755915824,0.53,g
17.69601024534662,0.531,g
17.69643770383864,0.532,g
17.69686023551718,0.533,g
17.697277944964416,0.534,g
17.697690937148355,0.535,g
17.698099317331447,0.536,g
17.69850319099839,0.537,g
17.698902663764102,0.538,g
17.699297841299355,0.539,g
17.699688829244188,0.54,g
17.700075733121206,0.541,g
17.700458658260178,0.542,g
17.70083770970532,0.543,g
17.70121299214062,0.544,g
17.70158460979615,0.545,g
17.701952666376414,0.546,g
17.70231726496684,0.547,g
17.702678507951454,0.548,g
17.70303649693593,0.549,g
17.703391332655972,0.55,g
17.70374311490187,0.551,g
17.704091942432786,0.552,g
17.704437912891606,0.553,g
17.704781122730434,0.554,g
17.705121667121215,0.555,g
17.705459639883188,0.556,g
17.705795133394844,0.557,g
17.706128238521426,0.558,g
17.70645904453326,0.559,g
17.70678763902488,0.56,g
17.707114107844664,0.561,g
17.707438535010795,0.562,g
17.707761002641625,0.5630000000000001,g
17.70808159088211,0.5640000000000001,g
17.708400377821853,0.5650000000000001,g
17.708717439433062,0.5660000000000001,g
17.709032849490818,0.5670000000000001,g
17.709346679510322,0.5680000000000001,g
17.709658998670523,0.5690000000000001,g
17.709969873752833,0.5700000000000001,g
17.710279369071884,0.5710000000000001,g
17.710587546407716,0.5720000000000001,g
17.71089446494833,0.5730000000000001,g
17.711200181220153,0.5740000000000001,g
17.711504749034347,0.5750000000000001,g
17.711808219420274,0.5760000000000001,g
17.712110640574792,0.577,g
17.71241205779891,0.578,g
17.71271251344938,0.579,g
17.71301204688305,0.58,g
17.71331069440212,0.581,g
17.713608489213406,0.582,g
17.713905461372683,0.583,g
17.71420163773962,0.584,g
17.714497041938966,0.585,g
17.714791694311298,0.586,g
17.71508561187974,0.587,g
17.715378808304564,0.588,g
17.71567129385376,0.589,g
17.71596307536172,0.59,g
17.71625415620285,0.591,g
17.71654453625866,0.592,g
17.716834211886937,0.593,g
17.717123175901577,0.594,g
17.717411417541665,0.595,g
17.717698922456457,0.596,g
17.717985672678783,0.597,g
17.718271646613424,0.598,g
17.71855681901842,0.599,g
17.71884116099271,0.6,g
17.71912463996606,0.601,g
17.71940721968709,0.602,g
17.719688860221822,0.603,g
17.719969517947057,0.604,g
17.72024914554598,0.605,g
17.720527692014432,0.606,g
17.720805102656943,0.607,g
17.721081319098346,0.608,g
17.721356279284542,0.609,g
17.721629917497804,0.61,g
17.72190216436625,0.611,g
17.722172946875645,0.612,g
17.722442188391593,0.613,g
17.722709808671926,0.614,g
17.722975723894216,0.615,g
17.72323984667288,0.616,g
17.723502086089635,0.617,g
17.723762347722158,0.618,g
17.724020533667495,0.619,g
17.724276542582967,0.62,g
17.72453026971411,0.621,g
17.724781606936954,0.622,g
17.725030442794946,0.623,g
17.72527666253819,0.624,g
17.725520148172155,0.625,g
17.725760778497655,0.626,g
17.72599842916448,0.627,g
17.726232972715735,0.628,g
17.726464278644922,0.629,g
17.72669221344798,0.63,g
17.72691664067759,0.631,g
17.72713742100608,0.632,g
17.727354412280466,0.633,g
17.727567469588596,0.634,g
17.727776445323844,0.635,g
17.727981189245625,0.636,g
17.72818154855413,0.637,g
17.728377367954653,0.638,g
17.728568489733902,0.639,g
17.728754753828735,0.64,g
17.728935997905186,0.641,g
17.729112057433518,0.642,g
17.729282765765124,0.643,g
17.729447954216116,0.644,g
17.729607452144954,0.645,g
17.729761087039403,0.646,g
17.72990868459739,0.647,g
17.73005006881666,0.648,g
17.7301850620787,0.649,g
17.7303134852405,0.65,g
17.730435157723246,0.651,g
17.730549897602344,0.652,g
17.73065752170341,0.653,g
17.73075784569271,0.654,g
17.730850684172538,0.655,g
17.730935850778685,0.656,g
17.731013158275026,0.657,g
17.731082418653333,0.658,g
17.731143443230042,0.659,g
17.731196042747396,0.66,g
17.73124002747226,0.661,g
17.73127520729825,0.662,g
17.731301391846806,0.663,g
17.731318390569395,0.664,g
17.73132601285074,0.665,g
17.73132406811184,0.666,g
17.731312365913844,0.667,g
17.731290716062365,0.668,g
17.73125892871172,0.669,g
17.731216814469864,0.67,g
17.73116418450332,0.671,g
17.731100850642147,0.672,g
17.731026625485907,0.673,g
17.73094132250784,0.674,g
17.730844756160522,0.675,g
17.730736741982007,0.676,g
17.730617096698808,0.677,g
17.730485638333224,0.678,g
17.730342186305105,0.679,g
17.73018656153918,0.68,g
17.73001858656606,0.681,g
17.729838085626746,0.682,g
17.729644884777343,0.683,g
17.7294388119876,0.684,g
17.729219697247235,0.685,g
17.728987372662168,0.686,g
17.728741672560027,0.687,g
17.728482433585842,0.6880000000000001,g
17.728209494799547,0.6890000000000001,g
17.727922697780958,0.6900000000000001,g
17.72762188671794,0.6910000000000001,g
17.72730690850976,0.6920000000000001,g
17.726977612855777,0.6930000000000001,g
17.726633852351572,0.6940000000000001,g
17.726275482584697,0.6950000000000001,g
17.725902362218754,0.6960000000000001,g
17.725514353091775,0.6970000000000001,g
17.725111320296143,0.6980000000000001,g
17.72469313227494,0.6990000000000001,g
17.724259660898326,0.7000000000000001,g
17.723810781557695,0.7010000000000001,g
17.723346373239675,0.7020000000000001,g
17.72286631861097,0.7030000000000001,g
17.72237050410236,0.704,g
17.72185881997665,0.705,g
17.72133116041806,0.706,g
17.720787423589986,0.707,g
17.720227511721188,0.708,g
17.719651331175534,0.709,g
17.71905879251074,0.71,g
17.718449810558806,0.711,g
17.717824304477023,0.712,g
17.71718219782518,0.713,g
17.716523418613683,0.714,g
17.71584789936759,0.715,g
17.715155577189453,0.716,g
17.714446393799726,0.717,g
17.713720295605352,0.718,g
17.712977233733127,0.719,g
17.71221716409456,0.72,g
17.711440047416207,0.721,g
17.71064584928924,0.722,g
17.709834540217464,0.723,g
17.709006095641843,0.724,g
17.708160495985876,0.725,g
17.707297726686956,0.726,g
17.706417778225028,0.727,g
17.705520646161766,0.728,g
17.70460633114869,0.729,g
17.703674838972074,0.73,g
17.702726180552776,0.731,g
17.70176037198697,0.732,g
17.700777434543,0.733,g
17.699777394683277,0.734,g
17.69876028408448,0.735,g
17.697726139625477,0.736,g
17.69667500341728,0.737,g
17.695606922782193,0.738,g
17.694521950279405,0.739,g
17.69342014368145,0.74,g
17.692301565979097,0.741,g
17.691166285387947,0.742,g
17.69001437530243,0.743,g
17.688845914330486,0.744,g
17.687660986242058,0.745,g
17.686459679965193,0.746,g
17.685242089577063,0.747,g
17.68400831425686,0.748,g
17.68275845828954,0.749,g
17.681492631009462,0.75,g
17.680210946799843,0.751,g
17.678913525034442,0.752,g
17.677600490053603,0.753,g
17.67627197113868,0.754,g
17.674928102445058,0.755,g
17.673569022991163,0.756,g
17.672194876582147,0.757,g
17.67080581179481,0.758,g
17.66940198190416,0.759,g
17.667983544826996,0.76,g
17.666550663105298,0.761,g
17.665103503804097,0.762,g
17.663642238490656,0.763,g
17.662167043143935,0.764,g
17.66067809810415,0.765,g
17.659175588020855,0.766,g
17.657659701754884,0.767,g
17.65613063234428,0.768,g
17.654588576897137,0.769,g
17.653033736554114,0.77,g
17.651466316376677,0.771,g
17.649886525306247,0.772,g
17.648294576052773,0.773,g
17.64669068502724,0.774,g
17.645075072272995,0.775,g
17.643447961347913,0.776,g
17.64180957928084,0.777,g
17.64016015643071,0.778,g
17.638499926439955,0.779,g
17.636829126138686,0.78,g
17.635147995422415,0.781,g
17.633456777197047,0.782,g
17.63175571724352,0.783,g
17.630045064160498,0.784,g
17.62832506923091,0.785,g
17.626595986337154,0.786,g
17.62485807187547,0.787,g
17.623111584618183,0.788,g
17.621356785651344,0.789,g
17.619593938229393,0.79,g
17.617823307711113,0.791,g
17.616045161417187,0.792,g
17.61425976853858,0.793,g
17.612467400044412,0.794,g
17.610668328541777,0.795,g
17.608862828187306,0.796,g
17.607051174571858,0.797,g
17.605233644604525,0.798,g
17.603410516422837,0.799,g
17.601582069243634,0.8,g
17.59974858329391,0.801,g
17.597910339655353,0.802,g
17.596067620194752,0.803,g
17.594220707413278,0.804,g
17.59236988434949,0.805,g
17.590515434482505,0.806,g
17.588657641580603,0.807,g
17.586796789631535,0.808,g
17.584933162685687,0.809,g
17.583067044786755,0.81,g
17.581198719815003,0.811,g
17.57932847141858,0.812,g
17.577456582868276,0.8130000000000001,g
17.57558333693997,0.8140000000000001,g
17.573709015852764,0.8150000000000001,g
17.57183390110283,0.8160000000000001,g
17.56995827337504,0.8170000000000001,g
17.56808241244957,0.8180000000000001,g
17.566206597054187,0.8190000000000001,g
17.564331104799837,0.8200000000000001,g
17.562456212028863,0.8210000000000001,g
17.560582193752275,0.8220000000000001,g
17.55870932349966,0.8230000000000001,g
17.556837873258296,0.8240000000000001,g
17.554968113330546,0.8250000000000001,g
17.553100312247494,0.8260000000000001,g
17.551234736683547,0.8270000000000001,g
17.549371651317347,0.8280000000000001,g
17.54751131877619,0.8290000000000001,g
17.54565399949405,0.8300000000000001,g
17.5437999516639,0.8310000000000001,g
17.541949431082198,0.8320000000000001,g
17.54010269110394,0.833,g
17.538259982544467,0.834,g
17.536421553555932,0.835,g
17.534587649581027,0.836,g
17.532758513227254,0.837,g
17.530934384196918,0.838,g
17.529115499218577,0.839,g
17.52730209192674,0.84,g
17.525494392823557,0.841,g
17.52369262915694,0.842,g
17.52189702488574,0.843,g
17.520107800567104,0.844,g
17.518325173298944,0.845,g
17.51654935666397,0.846,g
17.514780560623528,0.847,g
17.5130189914918,0.848,g
17.51126485183908,0.849,g
17.509518340423483,0.85,g
17.507779652175973,0.851,g
17.506048978084788,0.852,g
17.50432650518462,0.853,g
17.502612416461243,0.854,g
17.50090689083962,0.855,g
17.499210103098395,0.856,g
17.497522223837276,0.857,g
17.495843419446214,0.858,g
17.49417385202752,0.859,g
17.492513679394417,0.86,g
17.49086305499327,0.861,g
17.489222127906434,0.862,g
17.487591042784455,0.863,g
17.485969939829392,0.864,g
17.48435895478,0.865,g
17.482758218851906,0.866,g
17.48116785875607,0.867,g
17.479587996625376,0.868,g
17.478018750037762,0.869,g
17.47646023199435,0.87,g
17.474912550877644,0.871,g
17.47337581047623,0.872,g
17.471850109939012,0.873,g
17.470335543804303,0.874,g
17.468832201963842,0.875,g
17.467340169674266,0.876,g
17.465859527570505,0.877,g
17.464390351637856,0.878,g
17.46293271325204,0.879,g
17.46148667915221,0.88,g
17.460052311485224,0.881,g
17.458629667784006,0.882,g
17.457218801016044,0.883,g
17.455819759575178,0.884,g
17.454432587297376,0.885,g
17.453057323519207,0.886,g
17.451694003060958,0.887,g
17.45034265626949,0.888,g
17.449003309058618,0.889,g
17.44767598291218,0.89,g
17.446360694948616,0.891,g
17.44505745792496,0.892,g
17.44376628030516,0.893,g
17.442487166268943,0.894,g
17.44122011578381,0.895,g
17.439965124622283,0.896,g
17.43872218441909,0.897,g
17.43749128272967,0.898,g
17.436272403054414,0.899,g
17.43506552491922,0.9,g
17.433870623900376,0.901,g
17.432687671711786,0.902,g
17.431516636223684,0.903,g
17.430357481553127,0.904,g
17.429210168120953,0.905,g
17.42807465269391,0.906,g
17.426950888475787,0.907,g
17.425838825149697,0.908,g
