Mag,Phase,Band
17.919098957803854,0.0,g
17.918455229291986,0.001,g
17.917811818604697,0.002,g
17.917168711018117,0.003,g
17.916525893984282,0.004,g
17.915883357156247,0.005,g
17.915241092388282,0.006,g
17.9145990937578,0.007,g
17.913957357571288,0.008,g
17.91331588237242,0.009000000000000001,g
17.91267466894777,0.01,g
17.912033720348216,0.011,g
17.911393041879293,0.012,g
17.91075264112084,0.013000000000000001,g
17.910112527920084,0.014,g
17.909472714407976,0.015,g
17.9088332149905,0.016,g
17.908194046363196,0.017,g
17.907555227500705,0.018000000000000002,g
17.90691677966794,0.019,g
17.906278726415355,0.02,g
17.905641093573312,0.021,g
17.905003909260568,0.022,g
17.90436720386932,0.023,g
17.903731010073354,0.024,g
17.90309536281139,0.025,g
17.902460299293324,0.026000000000000002,g
17.901825858984846,0.027,g
17.901192083598463,0.028,g
17.900559017097155,0.029,g
17.899926705676208,0.03,g
17.899295197750202,0.031,g
17.898664543952414,0.032,g
17.898034797111166,0.033,g
17.897406012248904,0.034,g
17.896778246556828,0.035,g
17.896151559392262,0.036000000000000004,g
17.89552601225155,0.037,g
17.894901668765666,0.038,g
17.894278594671487,0.039,g
17.8936568578042,0.04,g
17.893036528074195,0.041,g
17.892417677443248,0.042,g
17.891800379914322,0.043000000000000003,g
17.891184711498845,0.044,g
17.89057075020773,0.045,g
17.88995857601279,0.046,g
17.889348270836162,0.047,g
17.88873991852447,0.048,g
17.888133604815206,0.049,g
17.88752941732218,0.05,g
17.886927445497612,0.051000000000000004,g
17.886327780614597,0.052000000000000005,g
17.885730515734764,0.053,g
17.88513574567525,0.054,g
17.884543566988896,0.055,g
17.883954077922823,0.056,g
17.8833673783986,0.057,g
17.882783569969476,0.058,g
17.88220275579911,0.059000000000000004,g
17.881625040617568,0.06,g
17.881050530698612,0.061,g
17.88047933381454,0.062,g
17.87991155921342,0.063,g
17.87934731756744,0.064,g
17.878786720955514,0.065,g
17.87822988281056,0.066,g
17.87767691789406,0.067,g
17.877127942247782,0.068,g
17.87658307316568,0.069,g
17.876042429144682,0.07,g
17.875506129855395,0.07100000000000001,g
17.874974296092006,0.07200000000000001,g
17.874447049741832,0.073,g
17.873924513734362,0.074,g
17.873406812008554,0.075,g
17.872894069467137,0.076,g
17.872386411930762,0.077,g
17.87188396610364,0.078,g
17.87138685952084,0.079,g
17.87089522051421,0.08,g
17.870409178161385,0.081,g
17.869928862240492,0.082,g
17.869454403195718,0.083,g
17.868985932079912,0.084,g
17.86852358051937,0.085,g
17.86806748065948,0.08600000000000001,g
17.867617765126507,0.08700000000000001,g
17.86717456697815,0.088,g
17.866738019654154,0.089,g
17.86630825693694,0.09,g
17.8658854128966,0.091,g
17.865469621851986,0.092,g
17.865061018315572,0.093,g
17.864659736953882,0.094,g
17.86426591253238,0.095,g
17.863879679875314,0.096,g
17.863501173810604,0.097,g
17.863130529128384,0.098,g
17.862767880531106,0.099,g
17.862413362580558,0.1,g
17.86206710965668,0.101,g
17.86172925590846,0.10200000000000001,g
17.861399935201074,0.10300000000000001,g
17.86107928107416,0.10400000000000001,g
17.860767426687595,0.105,g
17.860464504779465,0.106,g
17.860170647612307,0.107,g
17.859885986930227,0.108,g
17.85961065390888,0.109,g
17.85934477910595,0.11,g
17.85908849241806,0.111,g
17.85884192302836,0.112,g
17.858605199364067,0.113,g
17.85837844904477,0.114,g
17.85816179883995,0.115,g
17.857955374618072,0.116,g
17.857759301304608,0.117,g
17.85757370283054,0.11800000000000001,g
17.857398702090773,0.11900000000000001,g
17.857234420897278,0.12,g
17.857080979933237,0.121,g
17.856938498706985,0.122,g
17.856807095509698,0.123,g
17.856686887368284,0.124,g
17.85657799000377,0.125,g
17.85648051778535,0.126,g
17.8563945836891,0.127,g
17.85632029925323,0.128,g
17.856257774537198,0.129,g
17.856207118078242,0.13,g
17.856168436850858,0.131,g
17.856141836225063,0.132,g
17.856127419925652,0.133,g
17.856125289992352,0.134,g
17.856135546739843,0.135,g
17.856158288718838,0.136,g
17.85619361267712,0.137,g
17.856241613521895,0.138,g
17.856302384281634,0.139,g
17.856376016069966,0.14,g
17.85646259804823,0.14100000000000001,g
17.856562217391026,0.14200000000000002,g
17.856674959249784,0.14300000000000002,g
17.856800906718636,0.14400000000000002,g
17.856940140801594,0.145,g
17.857092740377162,0.146,g
17.85725878216832,0.147,g
17.85743834070785,0.148,g
17.85763148831014,0.149,g
17.857838295037332,0.15,g
17.85805882867312,0.151,g
17.858293154689235,0.152,g
17.8585413362228,0.153,g
17.85880343404404,0.154,g
17.859079506530204,0.155,g
17.859369609639984,0.156,g
17.859673796890373,0.157,g
17.859992119327195,0.158,g
17.86032462550708,0.159,g
17.860671361468412,0.16,g
17.861032370715453,0.161,g
17.861407694190405,0.162,g
17.861797370259612,0.163,g
17.862201434686813,0.164,g
17.862619920621498,0.165,g
17.863052858574342,0.166,g
17.863500276402615,0.167,g
17.863962199297163,0.168,g
17.864438649759435,0.169,g
17.864929647593186,0.17,g
17.865435209892226,0.171,g
17.8659553510169,0.17200000000000001,g
17.86649008259504,0.17300000000000001,g
17.86703941349991,0.17400000000000002,g
17.867603349849986,0.17500000000000002,g
17.86818189498932,0.176,g
17.868775049489606,0.177,g
17.869382811133253,0.178,g
17.870005174910595,0.179,g
17.870642133018684,0.18,g
17.87129367484613,0.181,g
17.8719597869811,0.182,g
17.87264045319605,0.183,g
17.873335654458103,0.184,g
17.874045368915066,0.185,g
17.874769571908157,0.186,g
17.87550823596106,0.187,g
17.876261330784494,0.188,g
17.877028823289397,0.189,g
17.877810677576274,0.19,g
17.87860685494089,0.191,g
17.87941731389054,0.192,g
17.880242010135227,0.193,g
17.88108089660985,0.194,g
17.881933923466566,0.195,g
17.882801038099366,0.196,g
17.883682185137722,0.197,g
17.884577306473442,0.198,g
17.885486341257742,0.199,g
17.886409225919664,0.2,g
17.887345894185927,0.201,g
17.88829627707987,0.202,g
17.889260302953947,0.203,g
17.89023789748779,0.20400000000000001,g
17.891228983723007,0.20500000000000002,g
17.892233482060064,0.20600000000000002,g
17.89325131030234,0.20700000000000002,g
17.894282383654446,0.20800000000000002,g
17.89532661474435,0.209,g
17.896383913658955,0.21,g
17.897454187948835,0.211,g
17.898537342658024,0.212,g
17.899633280355175,0.213,g
17.900741901139885,0.214,g
17.901863102688274,0.215,g
17.90299678025796,0.216,g
17.90414282673561,0.217,g
17.905301132643046,0.218,g
17.906471586186793,0.219,g
17.907654073265153,0.22,g
17.908848477519758,0.221,g
17.91005468034651,0.222,g
17.91127256093475,0.223,g
17.91250199630191,0.224,g
17.913742861331876,0.225,g
17.914995028781934,0.226,g
17.91625836934845,0.227,g
17.917532751674987,0.228,g
17.918818042411004,0.229,g
17.920114106223707,0.23,g
17.92142080585848,0.231,g
17.92273800215152,0.232,g
17.924065554091833,0.233,g
17.925403318837905,0.234,g
17.92675115176548,0.23500000000000001,g
17.928108906516417,0.23600000000000002,g
17.929476435016355,0.23700000000000002,g
17.93085358754046,0.23800000000000002,g
17.93224021272868,0.23900000000000002,g
17.93363615765288,0.24,g
17.935041267832737,0.241,g
17.93645538729755,0.242,g
17.93787835863257,0.243,g
17.939310022992288,0.244,g
17.94075022018066,0.245,g
17.942198788668488,0.246,g
17.943655565647827,0.247,g
17.945120387087215,0.248,g
17.946593087752913,0.249,g
17.94807350128195,0.25,g
17.949561460200428,0.251,g
17.95105679599754,0.252,g
17.95255933914415,0.253,g
17.954068919167714,0.254,g
17.955585364674747,0.255,g
17.957108503408676,0.256,g
17.958638162308212,0.257,g
17.960174167530166,0.258,g
17.961716344518884,0.259,g
17.963264518058264,0.26,g
17.96481851228752,0.261,g
17.96637815078957,0.262,g
17.967943256607022,0.263,g
17.969513652320202,0.264,g
17.97108916006673,0.265,g
17.97266960162,0.266,g
17.97425479841237,0.267,g
17.975844571595395,0.268,g
17.977438742100194,0.269,g
17.979037130660544,0.27,g
17.980639557891962,0.271,g
17.982245844310896,0.272,g
17.983855810413978,0.273,g
17.98546927669698,0.274,g
17.987086063734008,0.275,g
17.988705992196298,0.276,g
17.990328882923713,0.277,g
17.991954556977387,0.278,g
17.993582835657897,0.279,g
17.995213540576515,0.28,g
17.996846493711217,0.281,g
17.998481517428022,0.28200000000000003,g
18.00011843455955,0.28300000000000003,g
18.00175706842205,0.28400000000000003,g
18.003397242893616,0.28500000000000003,g
18.00503878243064,0.28600000000000003,g
18.00668151214554,0.28700000000000003,g
18.00832525782272,0.28800000000000003,g
18.009969845995677,0.289,g
18.011615103966182,0.29,g
18.013260859861525,0.291,g
18.014906942691574,0.292,g
18.01655318236671,0.293,g
18.018199409773466,0.294,g
18.019845456784,0.295,g
18.021491156342478,0.296,g
18.023136342473727,0.297,g
18.02478085033019,0.298,g
18.026424516257574,0.299,g
18.028067177806143,0.3,g
18.029708673803157,0.301,g
18.031348844367024,0.302,g
18.032987530959513,0.303,g
18.034624576437356,0.304,g
18.036259825064917,0.305,g
18.037893122583935,0.306,g
18.03952431622128,0.307,g
18.041153254757504,0.308,g
18.0427797885335,0.309,g
18.044403769517764,0.31,g
18.046025051311965,0.311,g
18.04764348921686,0.312,g
18.04925894023289,0.313,g
18.050871263139896,0.314,g
18.052480318477542,0.315,g
18.0540859686236,0.316,g
18.05568807779207,0.317,g
18.05728651209481,0.318,g
18.058881139542216,0.319,g
18.060471830103225,0.32,g
18.062058455704726,0.321,g
18.063640890290003,0.322,g
18.06521900981677,0.323,g
18.06679269231394,0.324,g
18.06836181788204,0.325,g
18.069926268729876,0.326,g
18.071485929210283,0.327,g
18.073040685818434,0.328,g
18.07459042724429,0.329,g
18.07613504436582,0.33,g
18.077674430292422,0.331,g
18.079208480389152,0.332,g
18.080737092264254,0.333,g
18.082260165827876,0.334,g
18.083777603281554,0.335,g
18.085289309146482,0.336,g
18.086795190290616,0.337,g
18.088295155919656,0.338,g
18.089789117620118,0.339,g
18.091276989345193,0.34,g
18.092758687455927,0.341,g
18.094234130705534,0.342,g
18.09570324027859,0.343,g
18.09716593977384,0.34400000000000003,g
18.098622155241415,0.34500000000000003,g
18.100071815167478,0.34600000000000003,g
18.101514850492467,0.34700000000000003,g
18.10295119462811,0.34800000000000003,g
18.10438078343653,0.34900000000000003,g
18.10580355527242,0.35000000000000003,g
18.107219450957054,0.35100000000000003,g
18.10862841378519,0.352,g
18.11003038954743,0.353,g
18.111425326505376,0.354,g
18.112813175418673,0.355,g
18.114193889518607,0.356,g
18.115567424533104,0.357,g
18.116933738662013,0.358,g
18.11829279258409,0.359,g
