Mag,Phase,Band
17.05797905001791,0.0,g
17.05797980386142,0.001,g
17.05798183430922,0.002,g
17.057985175284273,0.003,g
17.057989865031516,0.004,g
17.057995946041576,0.005,g
17.058003464972256,0.006,g
17.058012472567576,0.007,g
17.05802302357483,0.008,g
17.058035176659587,0.009000000000000001,g
17.058048994318437,0.01,g
17.058064542790042,0.011,g
17.058081891963926,0.012,g
17.058101115287823,0.013000000000000001,g
17.05812228967326,0.014,g
17.05814549539895,0.015,g
17.05817081601345,0.016,g
17.05819833823532,0.017,g
17.05822815185251,0.018000000000000002,g
17.058260349620454,0.019,g
17.058295027158056,0.02,g
17.05833228284318,0.021,g
17.05837221770721,0.022,g
17.058414935327274,0.023,g
17.058460541719295,0.024,g
17.058509145228314,0.025,g
17.058560856419117,0.026000000000000002,g
17.058615787966197,0.027,g
17.0586740545422,0.028,g
17.058735772706594,0.029,g
17.058801060792852,0.03,g
17.05887003879618,0.031,g
17.058942828261202,0.032,g
17.059019552167364,0.033,g
17.059100334816065,0.034,g
17.059185301717896,0.035,g
17.059274579477115,0.036000000000000004,g
17.059368295680265,0.037,g
17.05946657878067,0.038,g
17.059569557985963,0.039,g
17.05967736314604,0.04,g
17.05979012463846,0.041,g
17.059907973257044,0.042,g
17.06003104010131,0.043000000000000003,g
17.060159456462564,0.044,g
17.060293353716084,0.045,g
17.06043286321012,0.046,g
17.060578116155465,0.047,g
17.060729243520374,0.048,g
17.060886375919615,0.049,g
17.06104964351204,0.05,g
17.06121917589194,0.051000000000000004,g
17.061395101986367,0.052000000000000005,g
17.061577549954066,0.053,g
17.06176664708054,0.054,g
17.06196251967932,0.055,g
17.062165292995125,0.056,g
17.06237509110203,0.057,g
17.06259203681271,0.058,g
17.062816251579562,0.059000000000000004,g
17.063047855403934,0.06,g
17.063286966747423,0.061,g
17.063533702438253,0.062,g
17.06378817758518,0.063,g
17.064050505497637,0.064,g
17.064320797591535,0.065,g
17.064599163317446,0.066,g
17.064885710074147,0.067,g
17.06518054313342,0.068,g
17.06548376556741,0.069,g
17.065795478168607,0.07,g
17.066115779386283,0.07100000000000001,g
17.066444765250605,0.07200000000000001,g
17.066782529308714,0.073,g
17.067129162563592,0.074,g
17.06748475340548,0.075,g
17.067849387555135,0.076,g
17.06822314801008,0.077,g
