Mag,Phase,Band
16.747777879042044,0.0,g
16.747972620929733,0.001,g
16.748179939602668,0.002,g
16.748399953048544,0.003,g
16.748632776082545,0.004,g
16.748878520268587,0.005,g
16.749137293849433,0.006,g
16.74940920167969,0.007,g
16.74969434515366,0.008,g
16.749992822141603,0.009000000000000001,g
16.750304726933884,0.01,g
16.750630150168362,0.011,g
16.75096917878407,0.012,g
16.751321895957787,0.013000000000000001,g
16.75168838105388,0.014,g
16.75206870957745,0.015,g
16.752462953118126,0.016,g
16.752871179314166,0.017,g
16.753293451800943,0.018000000000000002,g
16.753729830174063,0.019,g
16.754180369955918,0.02,g
16.754645122552258,0.021,g
16.75512413522353,0.022,g
16.755617451059635,0.023,g
16.756125108943586,0.024,g
16.756647143531143,0.025,g
16.757183585233925,0.026000000000000002,g
16.757734460186683,0.027,g
16.75829979025105,0.028,g
16.758879592979103,0.029,g
16.759473881613857,0.03,g
16.760082665084603,0.031,g
16.76070594798769,0.032,g
16.761343730598387,0.033,g
16.7619960088565,0.034,g
16.76266277437392,0.035,g
16.763344014445583,0.036000000000000004,g
16.76403971204399,0.037,g
16.764749845834984,0.038,g
16.765474390196957,0.039,g
16.766213315222252,0.04,g
16.766966586741084,0.041,g
16.767734166348777,0.042,g
16.768516011411496,0.043000000000000003,g
16.769312075110467,0.044,g
16.770122306449714,0.045,g
16.770946650303234,0.046,g
16.771785047439973,0.047,g
16.77263743455026,0.048,g
16.773503744301344,0.049,g
16.774383905357997,0.05,g
16.775277842431898,0.051000000000000004,g
16.776185476334057,0.052000000000000005,g
16.77710672400395,0.053,g
16.77804149856592,0.054,g
16.778989709388526,0.055,g
16.779951262116246,0.056,g
16.780926058747806,0.057,g
16.78191399767157,0.058,g
16.782914973732883,0.059000000000000004,g
16.783928878304053,0.06,g
16.78495559932772,0.061,g
16.78599502139018,0.062,g
16.787047025793893,0.063,g
16.788111490615375,0.064,g
16.789188290781084,0.065,g
16.790277298128174,0.066,g
16.79137838148359,0.067,g
16.792491406748603,0.068,g
16.79361623695355,0.069,g
16.79475273234496,0.07,g
16.79590075047471,0.07100000000000001,g
16.797060146254527,0.07200000000000001,g
16.798230772065647,0.073,g
16.799412477815476,0.074,g
16.80060511103152,0.075,g
16.801808516957024,0.076,g
16.803022538613757,0.077,g
