Mag,Phase,Band
17.535236387959248,0.0,g
17.535243037788966,0.001,g
17.535252096787435,0.002,g
17.535263561970783,0.003,g
17.535277430244033,0.004,g
17.53529369840174,0.005,g
17.535312363129115,0.006,g
17.53533342100267,0.007,g
17.535356868491252,0.008,g
17.53538270195656,0.009000000000000001,g
17.53541091765477,0.01,g
17.53544151173672,0.011,g
17.535474480249245,0.012,g
17.535509819136127,0.013000000000000001,g
17.535547524238634,0.014,g
17.535587591297165,0.015,g
17.535630015951774,0.016,g
17.535674793743453,0.017,g
17.535721920114604,0.018000000000000002,g
17.535771390410844,0.019,g
17.53582319988153,0.02,g
17.53587734368114,0.021,g
17.53593381686963,0.022,g
17.535992614414532,0.023,g
17.536053731191352,0.024,g
17.53611716198506,0.025,g
17.53618290149041,0.026000000000000002,g
17.53625094431399,0.027,g
17.536321284975422,0.028,g
17.53639391790746,0.029,g
17.536468837458177,0.03,g
17.536546037891007,0.031,g
17.53662551338724,0.032,g
17.53670725804633,0.033,g
17.53679126588751,0.034,g
17.536877530849996,0.035,g
17.536966046795655,0.036000000000000004,g
17.537056807509234,0.037,g
17.53714980670005,0.038,g
17.53724503800211,0.039,g
17.537342494976976,0.04,g
17.537442171113877,0.041,g
17.53754405983151,0.042,g
17.53764815447806,0.043000000000000003,g
17.537754448334205,0.044,g
17.53786293461286,0.045,g
17.537973606461975,0.046,g
17.538086456964187,0.047,g
17.538201479138003,0.048,g
17.538318665940693,0.049,g
17.538438010268255,0.05,g
17.538559504957263,0.051000000000000004,g
17.538683142784766,0.052000000000000005,g
17.538808916471577,0.053,g
17.538936818682185,0.054,g
17.53906684202627,0.055,g
17.539198979060348,0.056,g
17.539333222287492,0.057,g
17.53946956416084,0.058,g
17.539607997083287,0.059000000000000004,g
17.539748513409545,0.06,g
17.539891105445676,0.061,g
17.540035765452792,0.062,g
17.54018248564622,0.063,g
17.540331258198812,0.064,g
17.54048207524004,0.065,g
17.540634928857113,0.066,g
17.54078981109843,0.067,g
17.54094671397299,0.068,g
17.541105629452456,0.069,g
17.541266549470514,0.07,g
17.541429465926775,0.07100000000000001,g
17.54159437068613,0.07200000000000001,g
17.541761255580823,0.073,g
17.54193011240965,0.074,g
17.542100932942002,0.075,g
17.54227370891709,0.076,g
17.542448432046005,0.077,g
17.542625094010788,0.078,g
17.54280368646863,0.079,g
17.542984201050867,0.08,g
17.54316662936405,0.081,g
17.543350962993685,0.082,g
17.54353719349993,0.083,g
17.543725312423973,0.084,g
17.543915311286398,0.085,g
17.544107181589283,0.08600000000000001,g
17.544300914814965,0.08700000000000001,g
17.54449650243038,0.088,g
17.544693935885807,0.089,g
17.544893206616965,0.09,g
17.54509430604362,0.091,g
17.545297225574004,0.092,g
17.545501956603445,0.093,g
17.545708490516386,0.094,g
17.545916818684905,0.095,g
17.546126932473186,0.096,g
17.54633882323595,0.097,g
17.546552482320546,0.098,g
17.54676790106461,0.099,g
17.54698507080315,0.1,g
17.547203982863056,0.101,g
17.547424628567015,0.10200000000000001,g
17.547646999234264,0.10300000000000001,g
17.547871086178738,0.10400000000000001,g
17.548096880713683,0.105,g
17.54832437414973,0.106,g
17.548553557796943,0.107,g
17.548784422962733,0.108,g
17.549016960956575,0.109,g
17.5492511630879,0.11,g
17.549487020668106,0.111,g
17.549724525008333,0.112,g
17.549963667424198,0.113,g
17.550204439233543,0.114,g
17.550446831758407,0.115,g
17.550690836322644,0.116,g
17.550936444255957,0.117,g
17.551183646894398,0.11800000000000001,g
17.55143243557722,0.11900000000000001,g
17.551682801650884,0.12,g
17.551934736465792,0.121,g
17.552188231381123,0.122,g
17.55244327776218,0.123,g
17.552699866981513,0.124,g
17.552957990419987,0.125,g
17.553217639464012,0.126,g
17.55347880551039,0.127,g
17.553741479963524,0.128,g
17.55400565423718,0.129,g
17.554271319751596,0.13,g
17.554538467938308,0.131,g
17.554807090237222,0.132,g
17.555077178098337,0.133,g
17.555348722977865,0.134,g
17.555621716346288,0.135,g
17.555896149680514,0.136,g
17.55617201446785,0.137,g
17.556449302206126,0.138,g
17.556728004400373,0.139,g
17.55700811256775,0.14,g
17.557289618234257,0.14100000000000001,g
17.5575725129363,0.14200000000000002,g
17.557856788217304,0.14300000000000002,g
17.5581424356326,0.14400000000000002,g
17.558429446745997,0.145,g
17.558717813131324,0.146,g
17.55900752636885,0.147,g
17.559298578050203,0.148,g
17.559590959774816,0.149,g
17.55988466315135,0.15,g
17.56017967979405,0.151,g
17.560476001326762,0.152,g
17.56077361938268,0.153,g
17.5610725255997,0.154,g
17.561372711624447,0.155,g
17.56167416910752,0.156,g
17.561976889708443,0.157,g
17.562280865091733,0.158,g
17.562586086928277,0.159,g
17.562892546891337,0.16,g
17.563200236661483,0.161,g
17.56350914792251,0.162,g
17.56381927236283,0.163,g
17.564130601671277,0.164,g
17.564443127542074,0.165,g
17.56475684167065,0.166,g
17.565071735754945,0.167,g
17.565387801491102,0.168,g
17.56570503057847,0.169,g
17.566023414714316,0.17,g
17.566342945597924,0.171,g
17.566663614925258,0.17200000000000001,g
17.56698541438827,0.17300000000000001,g
17.567308335678987,0.17400000000000002,g
17.567632370485004,0.17500000000000002,g
17.56795751049073,0.176,g
17.56828374737282,0.177,g
17.568611072805197,0.178,g
17.56893947845446,0.179,g
17.569268955981077,0.18,g
17.569599497034726,0.181,g
17.569931093259314,0.182,g
17.57026373628832,0.183,g
17.57059741774591,0.184,g
17.570932129242212,0.185,g
17.57126786237835,0.186,g
17.571604608741676,0.187,g
17.571942359904924,0.188,g
17.572281107429255,0.189,g
17.572620842858484,0.19,g
17.572961557718113,0.191,g
17.573303243519465,0.192,g
17.57364589175476,0.193,g
17.57398949389822,0.194,g
17.57433404140109,0.195,g
17.574679525696766,0.196,g
17.575025938195807,0.197,g
17.57537327028705,0.198,g
17.575721513332503,0.199,g
17.57607065867257,0.2,g
17.57642069762098,0.201,g
17.576771621465834,0.202,g
17.577123421464545,0.203,g
17.577476088849004,0.20400000000000001,g
17.577829614820487,0.20500000000000002,g
17.57818399054864,0.20600000000000002,g
17.578539207175716,0.20700000000000002,g
17.57889525580509,0.20800000000000002,g
17.579252127510777,0.209,g
17.579609813331132,0.21,g
17.579968304269965,0.211,g
17.58032759129135,0.212,g
17.580687665324877,0.213,g
17.581048517260502,0.214,g
17.581410137949586,0.215,g
17.581772518199692,0.216,g
17.58213564877991,0.217,g
17.582499520415638,0.218,g
17.582864123789683,0.219,g
17.583229449536997,0.22,g
17.583595488250094,0.221,g
17.58396223047377,0.222,g
17.58432966670627,0.223,g
17.584697787392912,0.224,g
17.585066582935855,0.225,g
17.5854360436824,0.226,g
17.585806159929348,0.227,g
17.586176921922096,0.228,g
17.586548319849282,0.229,g
17.586920343848394,0.23,g
17.587292984000463,0.231,g
17.5876662303313,0.232,g
17.58804007280621,0.233,g
17.588414501335613,0.234,g
17.588789505769792,0.23500000000000001,g
17.589165075900162,0.23600000000000002,g
17.58954120145397,0.23700000000000002,g
17.58991787210005,0.23800000000000002,g
17.590295077443525,0.23900000000000002,g
17.59067280702718,0.24,g
17.591051050326158,0.241,g
17.591429796752696,0.242,g
17.591809035655288,0.243,g
17.592188756312346,0.244,g
17.59256894793695,0.245,g
17.5929495996705,0.246,g
17.593330700588634,0.247,g
17.593712239696043,0.248,g
